MAC,Timestamp,Latitude,Longitude,HorizontalAccuracy,Altitude,VerticalAccuracy,Speed,Course,Confidence
44:1e:a1:f4:d:7f,361306882.473715,38.88055896,-77.11553561,281.0,96.0,19.0,-1.0,-1.0,50
0:23:5e:b0:6d:f1,361306882.473715,38.88106083,-77.11533838,68.0,113.0,13.0,-1.0,-1.0,50
0:26:b8:ac:1c:10,361306882.473715,38.88005346,-77.11595332,42.0,103.0,23.0,-1.0,-1.0,50
c0:c1:c0:15:66:fa,361306882.473715,38.88093715,-77.11640596,42.0,134.0,9.0,-1.0,-1.0,50
e0:46:9a:3f:1b:a6,361306882.473715,38.87996816,-77.11601394,42.0,104.0,38.0,-1.0,-1.0,50
54:75:d0:a5:f:a3,361306882.473715,38.88138395,-77.11556851,48.0,133.0,43.0,-1.0,-1.0,50
54:75:d0:a5:f:a0,361306882.473715,38.88139647,-77.11564362,42.0,111.0,31.0,-1.0,-1.0,50
0:26:b8:ad:bd:dc,361306882.473715,38.87974703,-77.11598318,42.0,101.0,21.0,-1.0,-1.0,50
0:26:b8:ac:19:d0,361306882.473715,38.87969022,-77.1154859,42.0,99.0,17.0,-1.0,-1.0,50
0:26:f3:f8:b8:fb,361306882.473715,38.87970983,-77.11530274,42.0,101.0,18.0,-1.0,-1.0,50
0:26:f3:f8:b8:f8,361306882.473715,38.87970793,-77.11529815,42.0,101.0,23.0,-1.0,-1.0,50
0:26:b8:ae:e7:1b,361306882.473715,38.8796842,-77.11539471,42.0,101.0,20.0,-1.0,-1.0,50
0:26:f3:f8:b8:f9,361306882.473715,38.87969332,-77.11530435,42.0,99.0,20.0,-1.0,-1.0,50
0:26:b8:ac:6:68,361306882.473715,38.87969988,-77.11591041,42.0,96.0,16.0,-1.0,-1.0,50
0:24:6c:67:e8:a0,361306887.01753,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0
0:24:6c:67:e6:1,361307000.24568,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0
